route_id,trip_id,service_id,trip_headsign,direction_id,shape_id,drt_advance_book_min,peak_offpeak
Q17,JA_F0-Weekday-157500_MISC_577,JA_F0-Weekday,FLUSHING MAIN ST STATION,0,Q170071,0.0,0
Q4,JA_F0-Weekday-158000_MISC_571,JA_F0-Weekday,JAMAICA PARSONS-ARCHER via LINDEN,1,Q040051,0.0,0
Q3,JA_F0-Weekday-160000_MISC_575,JA_F0-Weekday,JAMAICA 179 ST STATION 165 ST TERMINAL,0,Q030059,0.0,0
Q3,JA_F0-Weekday-160000_Q3_10,JA_F0-Weekday,JFK AIRPORT via FARMERS BL,1,Q030043,0.0,0
Q85,JA_F0-Weekday-160900_MISC_576,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q850283,0.0,0
Q17,JA_F0-Weekday-161200_MISC_577,JA_F0-Weekday,JAMAICA MERRICK BL,1,Q170100,0.0,0
Q85,JA_F0-Weekday-164800_MISC_576,JA_F0-Weekday,ROSEDALE 147 AV,0,Q850286,0.0,0
Q17,JA_F0-Weekday-165200_MISC_577,JA_F0-Weekday,FLUSHING MAIN ST STATION,0,Q170071,0.0,0
Q3,JA_F0-Weekday-166000_Q3_10,JA_F0-Weekday,JAMAICA 179 ST STATION 165 ST TERMINAL,0,Q030059,0.0,0
Q85,JA_F0-Weekday-168900_MISC_576,JA_F0-Weekday,JAMAICA PARSONS-ARCHER,1,Q850283,0.0,0
Q17,JA_F0-Weekday-169200_MISC_577,JA_F0-Weekday,JAMAICA MERRICK BL,1,Q170100,0.0,0
